"","id","Date.x","Open_14","High_14","Low_14","Close_14","Adj_Close_14","Volume_14","Date.y","Open_20","High_20","Low_20","Close_20","Adj_Close_20","Volume_20"
"1",1,"2014-03-03",32.389999,32.73,31.9,32.59,29.154736,14410000,"2020-01-02",58.93,59.389999,58.450001,59.040001,58.635307,4459200
"2",2,"2014-03-04",33.5,34.720001,33.490002,34.450001,30.818678,13583500,"2020-01-03",57.5,58.119999,56.91,58.060001,57.662025,9078100
"3",3,"2014-03-05",34.849998,35.150002,34.610001,34.720001,31.060207,11323000,"2020-01-06",56.990002,57.759998,56.66,57.66,57.264767,5504300
"4",4,"2014-03-06",35.060001,35.580002,35.029999,35.369999,31.641699,12030900,"2020-01-07",57.91,58.07,57.470001,57.610001,57.215111,5563000
"5",5,"2014-03-07",35.720001,35.849998,34.799999,35.360001,31.632748,11828800,"2020-01-08",57.75,59.400002,57.73,58.849998,58.446609,8519000
"6",6,"2014-03-10",35.34,35.82,34.709999,35.169998,31.46278,10695400,"2020-01-09",59.259998,59.470001,58.580002,58.959999,58.555855,5336700
"7",7,"2014-03-11",35.060001,35.450001,34.77,34.919998,31.239124,9975900,"2020-01-10",59.25,59.490002,58.619999,59.240002,58.833939,8279700
"8",8,"2014-03-12",34.599998,34.84,34.209999,34.5,30.863409,9953500,"2020-01-13",59.029999,59.700001,59.029999,59.490002,59.082226,8414200
"9",9,"2014-03-13",34.759998,34.779999,33.290001,33.580002,30.040379,13340700,"2020-01-14",62.040001,62.25,60.860001,61.450001,61.02879,16454100
"10",10,"2014-03-14",33.490002,34.630001,33.25,34.119999,30.523462,11883800,"2020-01-15",61.540001,61.939999,61.029999,61.619999,61.197624,7953400
"11",11,"2014-03-17",34.580002,34.580002,33.75,34.200001,30.595028,9175600,"2020-01-16",62.060001,62.48,61.630001,61.880001,61.455841,4950300
"12",12,"2014-03-18",34.490002,34.580002,34.049999,34.07,30.478727,8857900,"2020-01-17",62.130001,62.48,61.869999,62.029999,61.604813,5770000
"13",13,"2014-03-19",34.099998,34.32,33.330002,33.73,30.174572,9846200,"2020-01-21",61.25,61.610001,58.43,60.34,59.926399,16592000
"14",14,"2014-03-20",33.799999,33.91,33.299999,33.639999,30.094059,7001400,"2020-01-22",60.630001,60.720001,59.560001,59.639999,59.231194,7096400
"15",15,"2014-03-21",34.07,34.07,32.73,32.73,29.279978,22078800,"2020-01-23",59.189999,60.380001,58.189999,60.27,59.856876,7774500
"16",16,"2014-03-24",33.110001,33.529999,32.52,33.32,29.807783,11289700,"2020-01-24",60.099998,60.209999,57.84,58.810001,58.406887,10989500
"17",17,"2014-03-25",33.459999,34.509998,33.459999,34.43,30.800779,11544300,"2020-01-27",56.490002,57.18,55.619999,56.830002,56.44046,13090200
"18",18,"2014-03-26",34.5,34.549999,33.91,33.959999,30.380322,12058800,"2020-01-28",57.549999,57.970001,56.75,57.48,57.086002,6343700
"19",19,"2014-03-27",33.900002,34.290001,32.970001,34.130001,30.532404,11952200,"2020-01-29",57.639999,57.799999,56.57,56.650002,56.261692,5662000
"20",20,"2014-03-28",34.139999,34.689999,33.509998,33.529999,29.995651,10434900,"2020-01-30",55.650002,57.18,55.650002,57.099998,56.708603,5980700
"21",21,"2014-03-31",33.75,34.91,33.75,34.650002,30.997591,10215900,"2020-01-31",56.700001,57.080002,55.43,55.740002,55.357929,9320800
"22",22,"2014-04-01",34.93,35.779999,34.919998,35.75,31.981649,11630500,"2020-02-03",56.200001,57.25,56,56.040001,55.655872,7499000
"23",23,"2014-04-02",35.91,36.52,35.529999,35.700001,31.936916,12018200,"2020-02-04",57.200001,58.400002,57.150002,57.93,57.532917,6880800
"24",24,"2014-04-03",35.73,36.07,34.970001,35.369999,31.641699,8904100,"2020-02-05",58.970001,59.299999,58.599998,58.889999,58.486336,6067000
"25",25,"2014-04-04",35.689999,35.700001,34.48,34.610001,30.961817,9353600,"2020-02-06",59.799999,60.029999,58.02,58.18,57.781204,5210200
"26",26,"2014-04-07",34.509998,35.369999,33.689999,33.990002,30.407164,13775500,"2020-02-07",57.959999,58.25,57.52,57.919998,57.522984,3836800
"27",27,"2014-04-08",33.900002,34.279999,32.41,33.509998,29.97776,16158400,"2020-02-10",57.540001,58.119999,57.43,57.709999,57.314423,4541100
"28",28,"2014-04-09",33.73,34.82,33.43,34.73,31.069162,9554000,"2020-02-11",58.099998,59.099998,57.970001,58.66,58.257912,4566500
